time,cpu,gc,size,used,classes,classes_shared,live,daemon
"10:18:42.622, 16 maj 2023","10,2","0,0","367 001 600","318 454 056","9 757","0","127","117"
"10:18:43.623, 16 maj 2023","9,9","0,0","367 001 600","318 509 152","9 757","0","127","117"
"10:18:44.623, 16 maj 2023","9,7","0,0","367 001 600","305 977 952","9 757","0","127","117"
"10:18:45.624, 16 maj 2023","12,8","0,0","367 001 600","305 954 184","9 757","0","127","117"
"10:18:46.624, 16 maj 2023","12,3","0,0","367 001 600","308 113 512","9 757","0","127","117"
"10:18:47.625, 16 maj 2023","14,4","0,0","367 001 600","308 139 152","9 757","0","127","117"
"10:18:48.625, 16 maj 2023","9,5","0,0","367 001 600","310 294 000","9 757","0","127","117"
"10:18:49.627, 16 maj 2023","8,9","0,0","367 001 600","310 325 872","9 757","0","127","117"
"10:18:50.627, 16 maj 2023","9,2","0,0","367 001 600","312 441 248","9 757","0","128","117"
"10:18:51.628, 16 maj 2023","10,5","0,0","367 001 600","314 607 048","9 757","0","128","118"
"10:18:52.628, 16 maj 2023","9,4","0,0","367 001 600","316 713 776","9 757","0","128","118"
"10:18:53.629, 16 maj 2023","9,1","0,0","367 001 600","316 751 376","9 757","0","128","118"
"10:18:54.630, 16 maj 2023","8,8","0,0","367 001 600","316 768 096","9 757","0","128","118"
"10:18:55.631, 16 maj 2023","9,1","0,0","367 001 600","318 877 432","9 757","0","128","118"
"10:18:56.633, 16 maj 2023","9,2","0,0","367 001 600","318 958 832","9 757","0","128","118"
"10:18:57.635, 16 maj 2023","9,4","0,0","367 001 600","306 391 456","9 757","0","43","33"
"10:18:58.635, 16 maj 2023","8,7","0,0","367 001 600","306 453 424","9 757","0","43","33"
"10:18:59.637, 16 maj 2023","9,2","0,0","367 001 600","313 215 504","9 757","0","73","63"
"10:19:00.637, 16 maj 2023","9,1","0,0","367 001 600","319 573 248","9 757","0","73","63"
"10:19:01.639, 16 maj 2023","9,2","0,0","367 001 600","319 376 968","9 757","0","73","63"
"10:19:02.640, 16 maj 2023","9,1","0,0","367 001 600","321 450 544","9 757","0","73","63"
"10:19:03.641, 16 maj 2023","9,1","0,0","367 001 600","321 484 656","9 757","0","73","63"
"10:19:04.641, 16 maj 2023","9,0","0,0","367 001 600","321 551 416","9 757","0","73","63"
"10:19:05.642, 16 maj 2023","9,0","0,0","367 001 600","323 692 208","9 757","0","73","63"
"10:19:06.642, 16 maj 2023","9,3","0,0","367 001 600","323 689 376","9 757","0","73","63"
"10:19:07.643, 16 maj 2023","9,3","0,0","367 001 600","311 111 152","9 757","0","73","63"
"10:19:08.645, 16 maj 2023","9,0","0,0","367 001 600","311 184 400","9 757","0","73","63"
"10:19:09.645, 16 maj 2023","9,0","0,0","367 001 600","313 315 088","9 757","0","73","63"
"10:19:10.646, 16 maj 2023","8,8","0,0","367 001 600","313 297 200","9 757","0","73","63"
"10:19:11.647, 16 maj 2023","9,2","0,0","367 001 600","313 364 336","9 757","0","73","63"
"10:19:12.647, 16 maj 2023","9,2","0,0","367 001 600","315 495 912","9 757","0","73","63"
"10:19:13.649, 16 maj 2023","8,9","0,0","367 001 600","315 501 024","9 757","0","73","63"
"10:19:14.650, 16 maj 2023","8,9","0,0","367 001 600","315 564 144","9 757","0","73","63"
"10:19:15.651, 16 maj 2023","8,8","0,0","367 001 600","317 635 408","9 757","0","73","63"
"10:19:16.652, 16 maj 2023","9,1","0,0","367 001 600","317 688 080","9 757","0","73","63"
"10:19:17.652, 16 maj 2023","9,2","0,0","367 001 600","317 749 216","9 757","0","73","63"
"10:19:18.652, 16 maj 2023","9,0","0,0","367 001 600","319 891 680","9 757","0","73","63"
"10:19:19.653, 16 maj 2023","8,8","0,0","367 001 600","319 874 080","9 757","0","73","63"
"10:19:20.655, 16 maj 2023","8,9","0,0","367 001 600","319 897 168","9 757","0","73","63"
"10:19:21.655, 16 maj 2023","9,2","0,0","367 001 600","322 065 296","9 757","0","73","63"
"10:19:22.656, 16 maj 2023","9,1","0,0","367 001 600","322 051 744","9 757","0","73","63"
"10:19:23.658, 16 maj 2023","9,1","0,0","367 001 600","322 090 072","9 757","0","73","63"
"10:19:24.658, 16 maj 2023","8,8","0,0","367 001 600","324 208 384","9 757","0","73","63"
"10:19:25.659, 16 maj 2023","8,9","0,0","367 001 600","324 202 240","9 757","0","73","63"
"10:19:26.661, 16 maj 2023","9,4","0,0","367 001 600","311 668 656","9 757","0","73","63"
"10:19:27.662, 16 maj 2023","9,2","0,0","367 001 600","311 737 536","9 757","0","73","63"
"10:19:28.663, 16 maj 2023","9,2","0,0","367 001 600","315 008 416","9 757","0","81","71"
"10:19:29.663, 16 maj 2023","8,9","0,0","367 001 600","317 182 064","9 757","0","81","71"
"10:19:30.664, 16 maj 2023","9,0","0,0","367 001 600","317 190 512","9 757","0","81","71"
"10:19:31.665, 16 maj 2023","9,3","0,0","367 001 600","319 254 736","9 757","0","81","71"
"10:19:32.665, 16 maj 2023","9,2","0,0","367 001 600","321 386 832","9 757","0","81","71"
"10:19:33.666, 16 maj 2023","8,9","0,0","367 001 600","321 434 296","9 757","0","81","71"
"10:19:34.667, 16 maj 2023","9,0","0,0","367 001 600","323 565 464","9 757","0","81","71"
"10:19:35.667, 16 maj 2023","9,1","0,0","367 001 600","323 559 984","9 757","0","81","71"
"10:19:36.667, 16 maj 2023","9,3","0,0","367 001 600","325 729 904","9 757","0","82","72"
"10:19:37.668, 16 maj 2023","9,6","0,0","367 001 600","315 588 336","9 757","0","83","73"
