time,cpu,gc,size,used,classes,classes_shared,live,daemon
"19:52:09.864, 15 maj 2023","21,4","0,0","480 247 808","336 876 920","13 808","0","122","118"
"19:52:10.864, 15 maj 2023","15,8","0,0","480 247 808","93 865 064","13 808","0","122","118"
"19:52:11.864, 15 maj 2023","11,1","0,0","480 247 808","131 613 800","13 808","0","122","118"
"19:52:12.865, 15 maj 2023","10,8","0,0","480 247 808","167 265 384","13 808","0","122","118"
"19:52:13.865, 15 maj 2023","9,0","0,0","480 247 808","202 916 968","13 808","0","122","118"
"19:52:14.867, 15 maj 2023","9,9","0,0","480 247 808","240 665 704","13 808","0","122","118"
"19:52:15.869, 15 maj 2023","9,7","0,0","480 247 808","278 414 440","13 808","0","122","118"
"19:52:16.869, 15 maj 2023","10,9","0,0","480 247 808","316 163 176","13 808","0","122","118"
"19:52:17.870, 15 maj 2023","10,7","0,0","480 247 808","351 814 760","13 808","0","122","118"
"19:52:18.872, 15 maj 2023","10,8","0,0","480 247 808","108 513 184","13 808","0","122","118"
"19:52:19.872, 15 maj 2023","9,7","0,0","480 247 808","144 164 768","13 808","0","122","118"
"19:52:20.873, 15 maj 2023","8,9","0,0","480 247 808","181 913 504","13 808","0","122","118"
"19:52:21.873, 15 maj 2023","10,1","0,0","480 247 808","217 565 088","13 808","0","122","118"
"19:52:22.874, 15 maj 2023","9,2","0,0","480 247 808","255 313 824","13 808","0","122","118"
"19:52:23.874, 15 maj 2023","9,5","0,0","480 247 808","293 062 560","13 808","0","122","118"
"19:52:24.875, 15 maj 2023","9,2","0,0","480 247 808","330 811 296","13 808","0","122","118"
"19:52:25.875, 15 maj 2023","9,8","0,0","480 247 808","87 651 576","13 808","0","122","118"
"19:52:26.877, 15 maj 2023","9,2","0,0","480 247 808","123 303 160","13 808","0","122","118"
"19:52:27.878, 15 maj 2023","11,6","0,0","480 247 808","161 051 896","13 808","0","122","118"
"19:52:28.878, 15 maj 2023","9,6","0,0","480 247 808","198 800 632","13 808","0","122","118"
"19:52:29.879, 15 maj 2023","9,3","0,0","480 247 808","234 452 216","13 808","0","122","118"
"19:52:30.879, 15 maj 2023","9,8","0,0","480 247 808","272 200 952","13 808","0","122","118"
"19:52:31.880, 15 maj 2023","9,2","0,0","480 247 808","309 949 688","13 808","0","122","118"
"19:52:32.881, 15 maj 2023","10,0","0,0","480 247 808","345 601 272","13 808","0","122","118"
"19:52:33.881, 15 maj 2023","9,5","0,0","480 247 808","100 331 344","13 808","0","122","118"
"19:52:34.882, 15 maj 2023","10,2","0,0","480 247 808","138 080 080","13 808","0","122","118"
"19:52:35.883, 15 maj 2023","11,7","0,0","480 247 808","175 828 816","13 808","0","122","118"
"19:52:36.884, 15 maj 2023","10,2","0,0","480 247 808","213 577 552","13 808","0","122","118"
"19:52:37.886, 15 maj 2023","9,7","0,0","480 247 808","249 229 136","13 808","0","122","118"
"19:52:38.886, 15 maj 2023","10,4","0,0","480 247 808","286 977 872","13 808","0","122","118"
"19:52:39.887, 15 maj 2023","10,1","0,0","480 247 808","324 726 608","13 808","0","122","118"
"19:52:40.888, 15 maj 2023","9,5","0,0","480 247 808","360 378 192","13 808","0","122","118"
"19:52:41.889, 15 maj 2023","10,7","0,0","480 247 808","117 294 032","13 808","0","122","118"
"19:52:42.890, 15 maj 2023","10,4","0,0","480 247 808","155 042 768","13 808","0","122","118"
"19:52:43.891, 15 maj 2023","10,0","0,0","480 247 808","190 694 352","13 808","0","122","118"
"19:52:44.891, 15 maj 2023","9,4","0,0","480 247 808","228 443 088","13 808","0","122","118"
"19:52:45.892, 15 maj 2023","9,7","0,0","480 247 808","261 997 520","13 808","0","122","118"
"19:52:46.894, 15 maj 2023","10,0","0,0","480 247 808","301 843 408","13 808","0","122","118"
"19:52:47.894, 15 maj 2023","9,9","0,0","480 247 808","337 494 992","13 808","0","122","118"
"19:52:48.896, 15 maj 2023","10,8","0,0","480 247 808","94 350 832","13 808","0","122","118"
"19:52:49.895, 15 maj 2023","11,1","0,0","480 247 808","132 099 568","13 808","0","122","118"
"19:52:50.898, 15 maj 2023","10,5","0,0","480 247 808","167 751 152","13 808","0","122","118"
"19:52:51.898, 15 maj 2023","9,2","0,0","480 247 808","205 499 888","13 808","0","122","118"
"19:52:52.898, 15 maj 2023","9,2","0,0","480 247 808","243 248 624","13 808","0","122","118"
"19:52:53.899, 15 maj 2023","9,8","0,0","480 247 808","278 900 208","13 808","0","122","118"
"19:52:54.901, 15 maj 2023","10,7","0,0","480 247 808","316 648 944","13 808","0","122","118"
"19:52:55.901, 15 maj 2023","9,8","0,0","480 247 808","354 397 680","13 808","0","122","118"
"19:52:56.902, 15 maj 2023","11,7","0,0","480 247 808","108 968 584","13 808","0","122","118"
"19:52:57.903, 15 maj 2023","11,2","0,0","480 247 808","144 620 168","13 808","0","122","118"
"19:52:58.904, 15 maj 2023","9,3","0,0","480 247 808","182 368 904","13 808","0","122","118"
"19:52:59.904, 15 maj 2023","10,2","0,0","480 247 808","218 020 488","13 808","0","122","118"
"19:53:00.906, 15 maj 2023","9,5","0,0","480 247 808","255 769 224","13 808","0","122","118"
"19:53:01.906, 15 maj 2023","9,3","0,0","480 247 808","293 517 960","13 808","0","122","118"
"19:53:02.908, 15 maj 2023","9,7","0,0","480 247 808","329 169 544","13 808","0","122","118"
"19:53:03.907, 15 maj 2023","10,0","0,0","480 247 808","85 948 952","13 808","0","122","118"
"19:53:04.907, 15 maj 2023","9,7","0,0","480 247 808","123 697 688","13 808","0","122","118"
"19:53:05.908, 15 maj 2023","10,7","0,0","480 247 808","161 446 424","13 808","0","122","118"
"19:53:06.911, 15 maj 2023","9,2","0,0","480 247 808","197 098 008","13 808","0","122","118"
"19:53:07.911, 15 maj 2023","9,8","0,0","480 247 808","232 749 592","13 808","0","122","118"
"19:53:08.912, 15 maj 2023","9,8","0,0","480 247 808","270 498 328","13 808","0","122","118"
"19:53:09.912, 15 maj 2023","10,2","0,0","480 247 808","308 247 064","13 808","0","122","118"
"19:53:10.913, 15 maj 2023","8,9","0,0","480 247 808","345 995 800","13 808","0","122","118"
"19:53:11.914, 15 maj 2023","10,6","0,0","480 247 808","100 567 976","13 808","0","122","118"
"19:53:12.914, 15 maj 2023","10,6","0,0","480 247 808","138 316 712","13 808","0","122","118"
"19:53:13.915, 15 maj 2023","10,2","0,0","480 247 808","176 065 448","13 808","0","122","118"
"19:53:14.915, 15 maj 2023","10,2","0,0","480 247 808","211 717 032","13 808","0","122","118"
"19:53:15.916, 15 maj 2023","10,6","0,0","480 247 808","247 368 616","13 808","0","122","118"
"19:53:16.918, 15 maj 2023","9,3","0,0","480 247 808","285 117 352","13 808","0","122","118"
"19:53:17.919, 15 maj 2023","10,9","0,0","480 247 808","320 768 936","13 808","0","122","118"
"19:53:18.920, 15 maj 2023","10,1","0,0","480 247 808","360 614 824","13 808","0","122","118"
"19:53:19.921, 15 maj 2023","9,7","0,0","480 247 808","117 329 224","13 808","0","122","118"
"19:53:20.923, 15 maj 2023","9,3","0,0","480 247 808","152 980 808","13 808","0","122","118"
"19:53:21.924, 15 maj 2023","11,2","0,0","480 247 808","190 729 544","13 808","0","122","118"
"19:53:22.924, 15 maj 2023","10,8","0,0","480 247 808","228 478 280","13 808","0","122","118"
"19:53:23.925, 15 maj 2023","9,8","0,0","480 247 808","264 129 864","13 808","0","122","118"
"19:53:24.925, 15 maj 2023","9,1","0,0","480 247 808","301 878 600","13 808","0","122","118"
"19:53:25.926, 15 maj 2023","10,7","0,0","480 247 808","339 627 336","13 808","0","122","118"
"19:53:26.927, 15 maj 2023","10,1","0,0","480 247 808","94 348 312","13 808","0","122","118"
"19:53:27.927, 15 maj 2023","11,1","0,0","480 247 808","132 097 048","13 808","0","122","118"
"19:53:28.929, 15 maj 2023","10,7","0,0","480 247 808","169 845 784","13 808","0","122","118"
"19:53:29.930, 15 maj 2023","10,2","0,0","480 247 808","205 497 368","13 808","0","122","118"
"19:53:30.931, 15 maj 2023","9,1","0,0","480 247 808","243 246 104","13 808","0","122","118"
"19:53:31.933, 15 maj 2023","10,2","0,0","480 247 808","280 994 840","13 808","0","122","118"
"19:53:32.933, 15 maj 2023","10,5","0,0","480 247 808","316 646 424","13 808","0","122","118"
