"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"23:14:40.911, 20 kwi 2023","0,3","0,0","77 594 624","43 339 568","8 638","0","25","15"
"23:14:50.912, 20 kwi 2023","36,5","0,0","98 566 144","54 359 104","10 200","0","78","68"
"23:15:00.912, 20 kwi 2023","27,8","0,0","102 760 448","67 980 368","10 162","0","78","68"
"23:15:10.912, 20 kwi 2023","14,7","0,0","104 857 600","55 516 424","10 172","0","78","68"
"23:15:20.913, 20 kwi 2023","10,0","0,0","109 051 904","68 075 656","10 175","0","40","30"
"23:15:30.914, 20 kwi 2023","8,2","0,0","109 051 904","70 610 704","10 175","0","36","26"
"23:15:40.916, 20 kwi 2023","7,1","0,0","109 051 904","70 476 216","10 175","0","36","26"
"23:15:50.917, 20 kwi 2023","8,3","0,0","109 051 904","59 397 064","10 177","0","36","26"
"23:16:00.919, 20 kwi 2023","8,1","0,0","109 051 904","58 042 264","10 180","0","44","34"
"23:16:10.920, 20 kwi 2023","6,1","0,0","109 051 904","72 257 744","10 180","0","44","34"
"23:16:20.922, 20 kwi 2023","5,9","0,0","109 051 904","84 191 776","10 180","0","44","34"
"23:16:30.922, 20 kwi 2023","6,0","0,0","109 051 904","85 591 864","10 180","0","34","24"
"23:16:40.923, 20 kwi 2023","6,9","0,0","109 051 904","80 886 600","10 185","0","34","24"
"23:16:50.924, 20 kwi 2023","6,2","0,0","109 051 904","78 176 224","10 185","0","34","24"
"23:17:00.925, 20 kwi 2023","5,7","0,0","109 051 904","88 023 240","10 185","0","33","23"
"23:17:10.926, 20 kwi 2023","5,8","0,0","109 051 904","81 199 032","10 185","0","33","23"
"23:17:20.927, 20 kwi 2023","5,9","0,0","109 051 904","87 588 560","10 185","0","37","27"
"23:17:30.927, 20 kwi 2023","5,6","0,0","109 051 904","85 148 496","10 185","0","38","28"
"23:17:40.928, 20 kwi 2023","5,6","0,0","109 051 904","74 188 608","10 185","0","38","28"
"23:17:50.930, 20 kwi 2023","5,6","0,0","109 051 904","75 798 072","10 185","0","34","24"
"23:18:00.931, 20 kwi 2023","5,8","0,0","109 051 904","85 886 448","10 185","0","33","23"
"23:18:10.932, 20 kwi 2023","5,5","0,0","109 051 904","87 655 816","10 186","0","34","24"
"23:18:20.934, 20 kwi 2023","5,8","0,0","109 051 904","81 158 320","10 186","0","34","24"
"23:18:30.935, 20 kwi 2023","6,0","0,0","132 120 576","93 295 928","10 186","0","34","24"
"23:18:40.936, 20 kwi 2023","5,4","0,0","132 120 576","86 633 608","10 186","0","34","24"
"23:18:50.937, 20 kwi 2023","5,5","0,0","132 120 576","90 051 960","10 186","0","34","24"
"23:19:00.937, 20 kwi 2023","5,5","0,0","132 120 576","100 210 248","10 187","0","34","24"
"23:19:10.938, 20 kwi 2023","5,5","0,0","132 120 576","98 102 120","10 187","0","36","26"
"23:19:20.938, 20 kwi 2023","5,6","0,0","132 120 576","101 770 728","10 187","0","36","26"
"23:19:30.939, 20 kwi 2023","5,4","0,0","132 120 576","99 176 872","10 187","0","36","26"
"23:19:40.940, 20 kwi 2023","5,4","0,0","132 120 576","107 103 704","10 187","0","35","25"
"23:19:50.941, 20 kwi 2023","5,4","0,0","132 120 576","100 131 104","10 187","0","33","23"
"23:20:00.941, 20 kwi 2023","5,6","0,0","132 120 576","97 780 192","10 187","0","33","23"
"23:20:10.941, 20 kwi 2023","5,6","0,0","132 120 576","108 239 712","10 187","0","36","26"
"23:20:20.942, 20 kwi 2023","5,7","0,0","132 120 576","105 913 160","10 187","0","36","26"
"23:20:30.942, 20 kwi 2023","5,6","0,0","159 383 552","124 351 720","10 187","0","36","26"
"23:20:40.942, 20 kwi 2023","5,3","0,0","159 383 552","125 905 800","10 187","0","33","23"
"23:20:50.943, 20 kwi 2023","5,3","0,0","159 383 552","116 968 424","10 187","0","34","24"
"23:21:00.944, 20 kwi 2023","5,2","0,0","159 383 552","122 684 968","10 187","0","36","26"
"23:21:10.944, 20 kwi 2023","5,2","0,0","159 383 552","124 438 248","10 187","0","36","26"
"23:21:20.945, 20 kwi 2023","5,2","0,0","159 383 552","117 578 952","10 187","0","36","26"
"23:21:30.945, 20 kwi 2023","5,2","0,0","159 383 552","127 457 608","10 187","0","34","24"
"23:21:40.946, 20 kwi 2023","5,2","0,0","159 383 552","124 981 336","10 187","0","34","24"
"23:21:50.948, 20 kwi 2023","5,2","0,0","159 383 552","116 349 176","10 187","0","36","26"
"23:22:00.949, 20 kwi 2023","5,2","0,0","159 383 552","126 188 216","10 187","0","36","26"
"23:22:10.949, 20 kwi 2023","5,1","0,0","159 383 552","119 454 824","10 187","0","36","26"
"23:22:20.950, 20 kwi 2023","5,3","0,0","159 383 552","125 231 528","10 187","0","35","25"
"23:22:30.951, 20 kwi 2023","5,3","0,0","159 383 552","126 920 808","10 187","0","35","25"
