time,cpu,gc,size,used,classes,classes_shared,live,daemon
"08:48:41.258, 16 maj 2023","19,3","0,0","130 023 424","57 331 392","9 818","0","33","23"
"08:48:42.259, 16 maj 2023","11,6","0,0","130 023 424","80 400 064","9 818","0","33","23"
"08:48:43.260, 16 maj 2023","8,4","0,0","130 023 424","103 468 736","9 818","0","33","23"
"08:48:44.260, 16 maj 2023","7,1","0,0","130 023 424","76 212 848","9 818","0","33","23"
"08:48:45.260, 16 maj 2023","6,5","0,0","130 023 424","97 184 368","9 818","0","33","23"
"08:48:46.262, 16 maj 2023","8,6","0,0","130 023 424","72 079 144","9 818","0","33","23"
"08:48:47.263, 16 maj 2023","6,4","0,0","130 023 424","93 050 664","9 818","0","33","23"
"08:48:48.264, 16 maj 2023","6,5","0,0","130 023 424","65 670 856","9 818","0","33","23"
"08:48:49.265, 16 maj 2023","6,4","0,0","130 023 424","88 739 528","9 818","0","33","23"
"08:48:50.265, 16 maj 2023","6,4","0,0","130 023 424","61 553 232","9 819","0","33","23"
"08:48:51.266, 16 maj 2023","6,1","0,0","130 023 424","84 621 904","9 819","0","33","23"
"08:48:52.267, 16 maj 2023","6,4","0,0","130 023 424","57 439 072","9 819","0","33","23"
"08:48:53.268, 16 maj 2023","6,3","0,0","130 023 424","80 507 744","9 819","0","33","23"
"08:48:54.269, 16 maj 2023","6,3","0,0","130 023 424","101 479 264","9 819","0","33","23"
"08:48:55.270, 16 maj 2023","6,3","0,0","130 023 424","76 374 736","9 819","0","33","23"
"08:48:56.271, 16 maj 2023","6,4","0,0","130 023 424","97 346 256","9 819","0","33","23"
"08:48:57.272, 16 maj 2023","6,5","0,0","130 023 424","69 942 784","9 819","0","33","23"
"08:48:58.272, 16 maj 2023","6,3","0,0","130 023 424","93 011 456","9 819","0","33","23"
"08:48:59.274, 16 maj 2023","6,4","0,0","130 023 424","65 798 272","9 819","0","33","23"
"08:49:00.275, 16 maj 2023","6,8","0,0","130 023 424","88 866 944","9 819","0","33","23"
"08:49:01.277, 16 maj 2023","6,4","0,0","130 023 424","61 630 856","9 819","0","33","23"
"08:49:02.277, 16 maj 2023","6,5","0,0","130 023 424","84 699 528","9 819","0","33","23"
"08:49:03.279, 16 maj 2023","6,4","0,0","130 023 424","57 480 728","9 819","0","33","23"
"08:49:04.279, 16 maj 2023","7,2","0,0","130 023 424","80 549 400","9 819","0","33","23"
"08:49:05.279, 16 maj 2023","6,5","0,0","130 023 424","101 520 920","9 819","0","33","23"
"08:49:06.280, 16 maj 2023","6,7","0,0","130 023 424","74 279 408","9 819","0","33","23"
"08:49:07.281, 16 maj 2023","7,3","0,0","130 023 424","97 348 080","9 819","0","33","23"
"08:49:08.283, 16 maj 2023","6,4","0,0","130 023 424","68 069 784","9 819","0","33","23"
"08:49:09.283, 16 maj 2023","7,6","0,0","130 023 424","91 138 456","9 819","0","33","23"
"08:49:10.285, 16 maj 2023","6,4","0,0","130 023 424","61 775 264","9 819","0","33","23"
"08:49:11.285, 16 maj 2023","6,6","0,0","130 023 424","84 843 936","9 819","0","33","23"
"08:49:12.286, 16 maj 2023","6,7","0,0","130 023 424","105 815 456","9 819","0","33","23"
"08:49:13.287, 16 maj 2023","6,9","0,0","130 023 424","76 467 040","9 819","0","33","23"
"08:49:14.287, 16 maj 2023","6,7","0,0","130 023 424","99 535 712","9 819","0","33","23"
"08:49:15.287, 16 maj 2023","6,7","0,0","130 023 424","70 147 256","9 819","0","33","23"
"08:49:16.288, 16 maj 2023","6,4","0,0","130 023 424","93 215 928","9 819","0","33","23"
"08:49:17.289, 16 maj 2023","6,7","0,0","130 023 424","63 846 352","9 819","0","33","23"
"08:49:18.289, 16 maj 2023","7,1","0,0","130 023 424","86 915 024","9 819","0","33","23"
"08:49:19.290, 16 maj 2023","6,6","0,0","130 023 424","57 552 480","9 819","0","33","23"
"08:49:20.292, 16 maj 2023","6,4","0,0","130 023 424","78 524 000","9 819","0","33","23"
"08:49:21.292, 16 maj 2023","6,3","0,0","130 023 424","101 592 672","9 819","0","33","23"
"08:49:22.294, 16 maj 2023","6,5","0,0","130 023 424","72 252 880","9 819","0","33","23"
"08:49:23.295, 16 maj 2023","6,3","0,0","130 023 424","95 321 552","9 819","0","33","23"
"08:49:24.296, 16 maj 2023","6,4","0,0","130 023 424","66 014 608","9 819","0","33","23"
"08:49:25.297, 16 maj 2023","6,3","0,0","130 023 424","89 083 280","9 819","0","33","23"
"08:49:26.298, 16 maj 2023","8,7","0,0","130 023 424","59 699 432","9 819","0","33","23"
"08:49:27.299, 16 maj 2023","6,3","0,0","130 023 424","82 768 104","9 819","0","33","23"
"08:49:28.299, 16 maj 2023","6,7","0,0","130 023 424","103 739 624","9 819","0","33","23"
"08:49:29.300, 16 maj 2023","6,3","0,0","130 023 424","74 418 560","9 819","0","33","23"
"08:49:30.300, 16 maj 2023","6,3","0,0","130 023 424","97 487 232","9 819","0","33","23"
"08:49:31.301, 16 maj 2023","6,4","0,0","130 023 424","68 120 064","9 819","0","33","23"
"08:49:32.303, 16 maj 2023","6,3","0,0","130 023 424","91 188 736","9 819","0","33","23"
