time,cpu,gc,size,used,classes,classes_shared,live,daemon
"18:22:05.429, 15 maj 2023","3,6","0,0","113 246 208","67 265 472","13 935","0","31","27"
"18:22:06.429, 15 maj 2023","12,3","0,0","113 246 208","36 964 224","13 935","0","31","27"
"18:22:07.431, 15 maj 2023","10,1","0,0","113 246 208","64 227 200","13 935","0","31","27"
"18:22:08.431, 15 maj 2023","15,6","0,0","113 246 208","34 843 504","13 935","0","31","27"
"18:22:09.432, 15 maj 2023","9,6","0,0","113 246 208","62 106 480","13 935","0","31","27"
"18:22:10.432, 15 maj 2023","11,0","0,0","113 246 208","89 369 456","13 935","0","31","27"
"18:22:11.433, 15 maj 2023","10,2","0,0","113 246 208","59 968 400","13 935","0","31","27"
"18:22:12.433, 15 maj 2023","8,5","0,0","113 246 208","85 134 224","13 935","0","31","27"
"18:22:13.433, 15 maj 2023","8,6","0,0","113 246 208","55 773 016","13 935","0","31","27"
"18:22:14.435, 15 maj 2023","12,7","0,0","113 246 208","83 035 992","13 935","0","31","27"
"18:22:15.435, 15 maj 2023","9,2","0,0","113 246 208","53 673 720","13 935","0","31","27"
"18:22:16.437, 15 maj 2023","8,6","0,0","113 246 208","78 839 544","13 935","0","31","27"
"18:22:17.438, 15 maj 2023","9,3","0,0","113 246 208","49 509 720","13 935","0","31","27"
"18:22:18.439, 15 maj 2023","8,4","0,0","113 246 208","76 772 696","13 935","0","31","27"
"18:22:19.439, 15 maj 2023","8,5","0,0","113 246 208","47 381 440","13 935","0","31","27"
"18:22:20.440, 15 maj 2023","8,4","0,0","113 246 208","74 644 416","13 935","0","31","27"
"18:22:21.440, 15 maj 2023","9,1","0,0","113 246 208","45 281 184","13 935","0","31","27"
"18:22:22.440, 15 maj 2023","8,7","0,0","113 246 208","70 447 008","13 935","0","31","27"
"18:22:23.441, 15 maj 2023","8,5","0,0","113 246 208","41 137 360","13 935","0","31","27"
"18:22:24.443, 15 maj 2023","8,4","0,0","113 246 208","68 400 336","13 935","0","31","27"
"18:22:25.444, 15 maj 2023","10,8","0,0","113 246 208","39 091 720","13 935","0","33","29"
"18:22:26.444, 15 maj 2023","8,5","0,0","113 246 208","66 354 696","13 935","0","33","29"
"18:22:27.444, 15 maj 2023","9,4","0,0","113 246 208","37 005 880","13 935","0","34","30"
"18:22:28.446, 15 maj 2023","8,2","0,0","113 246 208","62 171 704","13 935","0","34","30"
"18:22:29.447, 15 maj 2023","8,4","0,0","113 246 208","89 434 680","13 935","0","34","30"
"18:22:30.448, 15 maj 2023","8,7","0,0","113 246 208","60 082 040","13 935","0","34","30"
"18:22:31.448, 15 maj 2023","8,9","0,0","113 246 208","87 345 016","13 935","0","34","30"
"18:22:32.449, 15 maj 2023","8,5","0,0","113 246 208","58 019 808","13 935","0","34","30"
"18:22:33.449, 15 maj 2023","8,2","0,0","113 246 208","85 282 784","13 935","0","34","30"
"18:22:34.451, 15 maj 2023","8,3","0,0","113 246 208","55 954 688","13 935","0","34","30"
"18:22:35.452, 15 maj 2023","8,4","0,0","113 246 208","81 120 512","13 935","0","33","29"
"18:22:36.453, 15 maj 2023","8,4","0,0","113 246 208","51 767 928","13 935","0","33","29"
"18:22:37.453, 15 maj 2023","8,2","0,0","113 246 208","79 030 904","13 935","0","33","29"
"18:22:38.455, 15 maj 2023","8,8","0,0","113 246 208","49 688 336","13 935","0","33","29"
"18:22:39.457, 15 maj 2023","8,1","0,0","113 246 208","76 951 312","13 935","0","33","29"
"18:22:40.457, 15 maj 2023","8,3","0,0","113 246 208","49 695 088","13 935","0","33","29"
"18:22:41.459, 15 maj 2023","8,6","0,0","113 246 208","74 860 912","13 935","0","33","29"
"18:22:42.459, 15 maj 2023","8,3","0,0","113 246 208","47 637 144","13 935","0","33","29"
"18:22:43.461, 15 maj 2023","8,4","0,0","113 246 208","74 900 120","13 935","0","34","30"
"18:22:44.461, 15 maj 2023","9,8","0,0","113 246 208","47 654 224","13 935","0","34","30"
"18:22:45.463, 15 maj 2023","8,4","0,0","113 246 208","74 917 200","13 935","0","34","30"
"18:22:46.464, 15 maj 2023","8,6","0,0","113 246 208","47 651 448","13 935","0","34","30"
"18:22:47.465, 15 maj 2023","9,0","0,0","113 246 208","72 817 272","13 935","0","34","30"
"18:22:48.467, 15 maj 2023","8,3","0,0","113 246 208","47 678 096","13 935","0","33","29"
"18:22:49.467, 15 maj 2023","8,7","0,0","113 246 208","72 843 920","13 935","0","33","29"
"18:22:50.469, 15 maj 2023","8,3","0,0","113 246 208","45 560 296","13 935","0","33","29"
"18:22:51.470, 15 maj 2023","8,3","0,0","113 246 208","72 823 272","13 935","0","33","29"
"18:22:52.470, 15 maj 2023","8,6","0,0","113 246 208","45 587 296","13 935","0","33","29"
"18:22:53.471, 15 maj 2023","8,3","0,0","113 246 208","72 850 272","13 935","0","33","29"
"18:22:54.471, 15 maj 2023","8,3","0,0","113 246 208","45 610 304","13 935","0","33","29"
"18:22:55.472, 15 maj 2023","8,6","0,0","113 246 208","70 776 128","13 935","0","33","29"
"18:22:56.473, 15 maj 2023","8,4","0,0","113 246 208","43 535 352","13 935","0","33","29"
"18:22:57.473, 15 maj 2023","8,1","0,0","113 246 208","70 798 328","13 935","0","33","29"
"18:22:58.474, 15 maj 2023","8,2","0,0","113 246 208","43 554 016","13 935","0","33","29"
"18:22:59.474, 15 maj 2023","8,2","0,0","113 246 208","70 816 992","13 935","0","34","30"
"18:23:00.476, 15 maj 2023","8,2","0,0","113 246 208","43 553 448","13 935","0","34","30"
"18:23:01.476, 15 maj 2023","8,2","0,0","113 246 208","68 719 272","13 935","0","34","30"
"18:23:02.477, 15 maj 2023","8,7","0,0","113 246 208","41 475 816","13 935","0","34","30"
"18:23:03.478, 15 maj 2023","8,2","0,0","113 246 208","68 738 792","13 935","0","34","30"
"18:23:04.480, 15 maj 2023","8,4","0,0","113 246 208","41 498 328","13 935","0","33","29"
"18:23:05.481, 15 maj 2023","8,6","0,0","113 246 208","68 761 304","13 935","0","33","29"
"18:23:06.483, 15 maj 2023","8,4","0,0","113 246 208","41 491 776","13 935","0","33","29"
"18:23:07.483, 15 maj 2023","8,2","0,0","113 246 208","66 657 600","13 935","0","33","29"
"18:23:08.484, 15 maj 2023","8,3","0,0","113 246 208","39 436 240","13 935","0","33","29"
"18:23:09.485, 15 maj 2023","7,9","0,0","113 246 208","66 699 216","13 935","0","33","29"
"18:23:10.487, 15 maj 2023","8,3","0,0","113 246 208","39 460 120","13 935","0","33","29"
"18:23:11.487, 15 maj 2023","8,2","0,0","113 246 208","66 723 096","13 935","0","33","29"
"18:23:12.488, 15 maj 2023","8,3","0,0","113 246 208","39 443 776","13 935","0","33","29"
"18:23:13.489, 15 maj 2023","8,1","0,0","113 246 208","64 609 600","13 935","0","33","29"
"18:23:14.489, 15 maj 2023","8,3","0,0","113 246 208","37 389 360","13 935","0","33","29"
"18:23:15.490, 15 maj 2023","8,4","0,0","113 246 208","64 652 336","13 935","0","33","29"
"18:23:16.492, 15 maj 2023","8,4","0,0","113 246 208","37 403 328","13 935","0","33","29"
"18:23:17.494, 15 maj 2023","8,3","0,0","113 246 208","64 666 304","13 935","0","34","30"
