time,cpu,gc,size,used,classes,classes_shared,live,daemon
"18:52:05.908, 15 maj 2023","20,3","0,0","113 246 208","64 426 296","13 940","0","41","37"
"18:52:06.909, 15 maj 2023","18,3","0,0","113 246 208","50 132 904","13 940","0","41","37"
"18:52:07.909, 15 maj 2023","18,5","0,0","113 246 208","79 858 280","13 940","0","40","36"
"18:52:08.910, 15 maj 2023","15,3","0,0","113 246 208","65 624 752","13 940","0","40","36"
"18:52:09.911, 15 maj 2023","14,2","0,0","113 246 208","57 782 328","13 940","0","40","36"
"18:52:10.913, 15 maj 2023","15,1","0,0","113 246 208","49 853 288","13 940","0","40","36"
"18:52:11.914, 15 maj 2023","15,3","0,0","113 246 208","83 344 680","13 940","0","40","36"
"18:52:12.916, 15 maj 2023","19,9","0,0","113 246 208","77 312 248","13 940","0","40","36"
"18:52:13.918, 15 maj 2023","14,9","0,0","113 246 208","71 302 624","13 941","0","40","36"
"18:52:14.918, 15 maj 2023","15,2","0,0","113 246 208","60 740 184","13 941","0","40","36"
"18:52:15.920, 15 maj 2023","15,3","0,0","113 246 208","54 666 984","13 941","0","40","36"
"18:52:16.922, 15 maj 2023","14,9","0,0","113 246 208","88 330 856","13 941","0","40","36"
"18:52:17.924, 15 maj 2023","15,2","0,0","113 246 208","80 147 648","13 941","0","40","36"
"18:52:18.926, 15 maj 2023","14,8","0,0","113 246 208","74 107 880","13 941","0","40","36"
"18:52:19.927, 15 maj 2023","14,2","0,0","113 246 208","72 236 744","13 941","0","40","36"
"18:52:20.927, 15 maj 2023","14,8","0,0","113 246 208","68 209 832","13 941","0","40","36"
"18:52:21.928, 15 maj 2023","15,1","0,0","113 246 208","66 164 072","13 941","0","40","36"
"18:52:22.930, 15 maj 2023","15,3","0,0","113 246 208","62 187 528","13 941","0","40","36"
"18:52:23.930, 15 maj 2023","14,5","0,0","113 246 208","60 229 008","13 941","0","40","36"
"18:52:24.931, 15 maj 2023","14,1","0,0","113 246 208","56 219 808","13 941","0","40","36"
"18:52:25.931, 15 maj 2023","15,9","0,0","113 246 208","52 373 384","13 941","0","40","36"
"18:52:26.932, 15 maj 2023","14,5","0,0","113 246 208","87 944 616","13 941","0","40","36"
"18:52:27.933, 15 maj 2023","15,1","0,0","113 246 208","84 156 328","13 941","0","40","36"
"18:52:28.935, 15 maj 2023","14,2","0,0","113 246 208","79 881 768","13 941","0","40","36"
"18:52:29.936, 15 maj 2023","14,3","0,0","113 246 208","80 208 032","13 941","0","40","36"
"18:52:30.938, 15 maj 2023","14,6","0,0","113 246 208","80 142 264","13 941","0","40","36"
