time,cpu,gc,size,used,classes,classes_shared,live,daemon
"09:48:41.135, 16 maj 2023","20,0","0,0","367 001 600","120 036 736","9 750","0","60","50"
"09:48:42.136, 16 maj 2023","20,3","0,0","367 001 600","151 494 016","9 750","0","60","50"
"09:48:43.136, 16 maj 2023","17,8","0,0","367 001 600","185 048 448","9 751","0","60","50"
"09:48:44.138, 16 maj 2023","19,9","0,0","367 001 600","216 505 728","9 754","0","60","50"
"09:48:45.138, 16 maj 2023","22,2","0,0","367 001 600","247 963 008","9 755","0","60","50"
"09:48:46.139, 16 maj 2023","20,7","0,0","367 001 600","279 420 288","9 756","0","60","50"
"09:48:47.141, 16 maj 2023","13,2","0,0","367 001 600","107 080 896","9 756","0","60","50"
"09:48:48.141, 16 maj 2023","11,7","0,0","367 001 600","138 538 176","9 756","0","60","50"
"09:48:49.142, 16 maj 2023","9,7","0,0","367 001 600","169 995 456","9 756","0","60","50"
"09:48:50.142, 16 maj 2023","9,7","0,0","367 001 600","203 549 888","9 756","0","59","49"
"09:48:51.143, 16 maj 2023","10,1","0,0","367 001 600","235 007 168","9 756","0","59","49"
"09:48:52.143, 16 maj 2023","9,8","0,0","367 001 600","266 464 448","9 756","0","59","49"
"09:48:53.144, 16 maj 2023","10,3","0,0","367 001 600","88 623 656","9 756","0","59","49"
"09:48:54.146, 16 maj 2023","9,8","0,0","367 001 600","122 178 088","9 756","0","59","49"
"09:48:55.147, 16 maj 2023","9,7","0,0","367 001 600","153 635 368","9 756","0","59","49"
"09:48:56.148, 16 maj 2023","10,0","0,0","367 001 600","185 092 648","9 756","0","59","49"
"09:48:57.150, 16 maj 2023","9,8","0,0","367 001 600","216 549 928","9 756","0","59","49"
"09:48:58.151, 16 maj 2023","10,1","0,0","367 001 600","250 104 360","9 756","0","59","49"
"09:48:59.152, 16 maj 2023","9,4","0,0","367 001 600","281 561 640","9 756","0","59","49"
"09:49:00.152, 16 maj 2023","10,2","0,0","367 001 600","103 879 080","9 756","0","59","49"
"09:49:01.153, 16 maj 2023","10,1","0,0","367 001 600","137 433 512","9 756","0","59","49"
"09:49:02.153, 16 maj 2023","9,9","0,0","367 001 600","168 890 792","9 756","0","59","49"
"09:49:03.154, 16 maj 2023","9,8","0,0","367 001 600","200 348 072","9 756","0","59","49"
"09:49:04.155, 16 maj 2023","9,6","0,0","367 001 600","231 805 352","9 756","0","59","49"
"09:49:05.156, 16 maj 2023","9,8","0,0","367 001 600","265 359 784","9 756","0","59","49"
"09:49:06.156, 16 maj 2023","11,1","0,0","367 001 600","95 144 520","9 756","0","72","62"
