time,cpu,gc,size,used,classes,classes_shared,live,daemon
"19:22:06.389, 15 maj 2023","29,0","0,0","480 247 808","143 837 128","13 806","0","42","38"
"19:22:07.391, 15 maj 2023","24,8","0,0","480 247 808","181 585 864","13 806","0","72","68"
"19:22:08.393, 15 maj 2023","16,0","0,0","480 247 808","215 140 296","13 807","0","72","68"
"19:22:09.394, 15 maj 2023","22,7","0,0","480 247 808","248 694 728","13 807","0","72","68"
"19:22:10.396, 15 maj 2023","18,8","0,0","480 247 808","282 249 160","13 808","0","72","68"
"19:22:11.396, 15 maj 2023","12,7","0,0","480 247 808","315 803 592","13 808","0","72","68"
"19:22:12.397, 15 maj 2023","11,3","0,0","480 247 808","349 358 024","13 808","0","72","68"
"19:22:13.398, 15 maj 2023","10,9","0,0","480 247 808","105 027 792","13 808","0","72","68"
"19:22:14.398, 15 maj 2023","10,8","0,0","480 247 808","138 582 224","13 808","0","72","68"
"19:22:15.398, 15 maj 2023","10,9","0,0","480 247 808","172 136 656","13 808","0","72","68"
"19:22:16.400, 15 maj 2023","11,4","0,0","480 247 808","205 691 088","13 808","0","72","68"
"19:22:17.400, 15 maj 2023","11,2","0,0","480 247 808","239 245 520","13 808","0","72","68"
"19:22:18.402, 15 maj 2023","10,7","0,0","480 247 808","272 799 952","13 808","0","72","68"
"19:22:19.402, 15 maj 2023","11,0","0,0","480 247 808","306 354 376","13 808","0","72","68"
"19:22:20.403, 15 maj 2023","10,8","0,0","480 247 808","339 908 808","13 808","0","72","68"
"19:22:21.404, 15 maj 2023","11,4","0,0","480 247 808","94 727 104","13 808","0","72","68"
"19:22:22.404, 15 maj 2023","11,1","0,0","480 247 808","130 378 688","13 808","0","72","68"
"19:22:23.406, 15 maj 2023","10,9","0,0","480 247 808","161 835 968","13 808","0","72","68"
"19:22:24.407, 15 maj 2023","10,9","0,0","480 247 808","197 487 552","13 808","0","72","68"
"19:22:25.407, 15 maj 2023","10,9","0,0","480 247 808","231 041 984","13 808","0","72","68"
"19:22:26.408, 15 maj 2023","11,4","0,0","480 247 808","264 596 416","13 808","0","72","68"
"19:22:27.410, 15 maj 2023","11,2","0,0","480 247 808","298 150 848","13 808","0","72","68"
"19:22:28.411, 15 maj 2023","10,8","0,0","480 247 808","331 705 280","13 808","0","72","68"
"19:22:29.411, 15 maj 2023","11,0","0,0","480 247 808","88 506 624","13 808","0","72","68"
"19:22:30.413, 15 maj 2023","11,1","0,0","480 247 808","122 061 056","13 808","0","72","68"
"19:22:31.414, 15 maj 2023","10,9","0,0","480 247 808","155 615 488","13 808","0","72","68"
"19:22:32.415, 15 maj 2023","11,1","0,0","480 247 808","189 169 920","13 808","0","72","68"
"19:22:33.415, 15 maj 2023","10,7","0,0","480 247 808","222 724 352","13 808","0","72","68"
"19:22:34.416, 15 maj 2023","10,7","0,0","480 247 808","256 278 784","13 808","0","72","68"
"19:22:35.418, 15 maj 2023","10,7","0,0","480 247 808","289 833 216","13 808","0","72","68"
"19:22:36.418, 15 maj 2023","11,3","0,0","480 247 808","323 387 648","13 808","0","72","68"
"19:22:37.418, 15 maj 2023","11,2","0,0","480 247 808","80 057 912","13 808","0","72","68"
"19:22:38.418, 15 maj 2023","10,8","0,0","480 247 808","113 612 344","13 808","0","72","68"
"19:22:39.419, 15 maj 2023","10,7","0,0","480 247 808","145 069 624","13 808","0","72","68"
"19:22:40.419, 15 maj 2023","10,7","0,0","480 247 808","180 721 208","13 808","0","72","68"
"19:22:41.421, 15 maj 2023","11,0","0,0","480 247 808","212 178 488","13 808","0","72","68"
"19:22:42.423, 15 maj 2023","11,3","0,0","480 247 808","245 732 920","13 808","0","72","68"
"19:22:43.423, 15 maj 2023","10,6","0,0","480 247 808","281 384 504","13 808","0","72","68"
"19:22:44.425, 15 maj 2023","10,8","0,0","480 247 808","312 841 784","13 808","0","72","68"
