name,price,description,rating,user,categoryType,conditionType,offerType
LBVPVE52QW,995.59,874LAWIE1EI7P5PWXLDCEXQFIW30FRVSQPJ0VJ1EEWJJEQMN7Q,1.08,9,SPORT,NEW_WITH_DEFECT,AUCTION
RZI3DTD2DX,577.4,UPXZCSDWVNPQLGHNDYPKB6QFISWZR710TFGN0HOD8UWUV495YE,3.77,28,ELECTRONICS,NEW_WITHOUT_TAG,BUY_NOW
GFJLOO633Z,1769.27,FLUNW5V9N726VVEUA8KUJO08BQKNHGJGWCRPU4MUMPMQBV17B3,4.7,92,FASHION,NEW,AUCTION
J0AMQMQTR5,1055.34,WUICAZQ65SZUSB0A63G7I3QCZZ5AFFLFH31X1T938FC6IFNNCQ,2.96,70,BEAUTY,NEW_WITHOUT_TAG,AUCTION
MPU5UUBY59,2141.98,TIRWPQJVKSVLHRMNGBBYBVPTAXB1TX5MJV8W9U9AP721BMASZ4,2.24,15,FASHION,NEW,BUY_NOW
CQKQGEYKEF,4475.29,74G04A4W8A7UEB022FRQ1ZQ5N958WES2QFDR3S40E2NCK8KL38,2.04,41,FOOD,NEW,BUY_NOW
BXW96WHIEI,801.55,BOU5UU8YXDHI0FO5RQD4U6V8QN9IGO9GORQZRBKZPZCFZC1LBF,3.77,69,AUTOMOTIVE,USED,BUY_NOW
ADXNJ1IEN7,2184.52,NUEZY8L3JVWWNF7R2F7F83DILFFVWF7IJMLEZNFKAB0OGI3S46,3.68,17,BEAUTY,NEW_WITH_DEFECT,BUY_NOW
GN29ZSL8XJ,2940.12,2DASZ1J35PMJDBAPDFS1M35VLSD5MKIX1JH5TKMSRN0QZN54YX,1.96,93,HOME_AND_GARDEN,NEW_WITHOUT_TAG,BUY_NOW
GG22ISZKYX,4116.58,CSRV491RZ7QEXKS32NKLOU2FYTT014UUJJJZIP6VVAKF1WERNW,0.82,46,HEALTH,NEW_WITHOUT_TAG,AUCTION
Y9P995KCLD,318.38,XDZ1YDO8SAYVIOH4WVPOBNDJGDFHPEGUTNH1A729X0PQJYWNJ3,2.18,25,BEAUTY,USED,AUCTION
MFJCJO2LTS,345.0,YQX7V14OG9QUBC7QRKYAZQOZXZ60TCMLTA4GNW8IWDK6MN5QRG,3.58,92,AUTOMOTIVE,NEW,AUCTION
F44GY5F4X9,2032.68,XJWJDB4RU0ATNAA65IKFRPRZ1X5FZQX91IJIE1M36HCBDKEEBL,4.35,21,ELECTRONICS,NEW_WITHOUT_TAG,AUCTION
Q3XIQDBIV1,1558.97,1UHINXHD9IE4GHPJBRNCQH9KZ0HB8J17G9SCTKF9VBNWRZR8T2,3.61,14,FASHION,NEW,AUCTION
JOIGGLBTKG,1477.07,IDZ4UUEL6312R4RPJT6RU8A4KBJ3PUP6ULPLBINVCCV8OMO9OA,1.06,74,BEAUTY,NEW_WITH_DEFECT,BUY_NOW
4JEWTU4YAW,2005.69,PL8PFB8K583CHPWO8TBOWJ6OXJR1KTUZSXLVWNLF18X6HO5TS5,0.03,80,ART,NEW_WITH_DEFECT,AUCTION
64KEU0R5F3,2561.11,4LQYHXAJL1P2E5SJ52MYF3E91ABNS6F8T5KJAX0ZR5RR25CZEB,4.06,44,AUTOMOTIVE,USED,BUY_NOW
TE67JWREZP,3761.17,FEVBETK0D50WU2YE0Y3MSP7DJX8TBHFSET04FMUGIGB0T3HFEN,2.2,91,ELECTRONICS,USED,BUY_NOW
WYJFQHY60I,3436.13,DV2RVM9SAZOVOLMU0Z00TT3PNU7D5VTOW2EXUKA5CUZWDP6PJ4,2.63,67,SPORT,USED,BUY_NOW
ZTW4JTYZ3X,2725.69,2EPLRJJ4MB00XSC5XNJEU0VVBFLN7O7ZXOGXY6ZXAEBNYPJ2TJ,4.67,82,SPORT,NEW,AUCTION
IDYSL0XMLB,4226.42,DM4DF3Z6ZF4AC5RW266DQ0YM4SU0615JFJ9PZJUEEGRNBZGJAK,3.16,18,FOOD,USED,AUCTION
50SCRAIXRT,1874.61,PPDJCUIP7L2ZIDPVZRMIF5LUWARWURN60F4Z1VWRDG4223YGMA,4.29,56,ART,NEW_WITH_DEFECT,AUCTION
LFXULOLIQE,1818.72,H6M0G9BJGULR9N8LIOXW5XE8XTTMXHBGQ4QSWO6KR6179I16ME,0.91,59,ELECTRONICS,NEW_WITH_DEFECT,AUCTION
5RE3UMDZ9Z,1557.38,R0R7XRXCCJ15LKIKYABHR22PXMUJKEIH2D0XHW5AP0DO6STM6F,3.18,1,HOME_AND_GARDEN,NEW_WITH_DEFECT,BUY_NOW
T54UZIFM8J,2638.94,WFZI3CKDD2TZ2ITCTTXCP2ZPYWKTYWPXJXM9RX0U6AU0RADQV0,4.99,12,BEAUTY,NEW_WITHOUT_TAG,BUY_NOW
UMIU8O0VNL,4272.05,0GT38Y33Y5BS7BBT23GTO3GOYOOQYKXR55G8S9JA3V2JC6MG8P,3.42,49,HOME_AND_GARDEN,NEW,BUY_NOW
YS07BDUWMX,4722.84,G35QODPJD4W6TIU9KURCEK8Q7F6MIZ8NK4UDJ0E1WFI9KITRK5,4.22,22,ART,NEW_WITHOUT_TAG,BUY_NOW
TV8V0NVP60,3662.13,FMZ75KCMM7GJ9ZW7YYOK4I0I9AHAK5N57VGQDZT9DEAOBLEQ1H,2.39,2,FASHION,NEW_WITH_DEFECT,BUY_NOW
M5UXUNH41I,4590.36,5DWQR27KZIE8ZMLIN5LMXZS021K3WQSXBUPC198MUF6L08PP2E,3.14,86,FASHION,NEW_WITHOUT_TAG,AUCTION
WQDKVXML03,4571.92,9623LOF3I99HI8JN7D3O455J4BH41M3Z32V7BFCXDNB267VSLF,1.16,24,ART,USED,BUY_NOW
5O5JSFJB8W,4596.29,T128O58MNVOEWEHEIFZ9W6WMNRIWMC1W0AMLO4IKHG6GPCWMQ4,4.24,62,ART,USED,AUCTION
P9SAWT6W56,622.47,W4ZACBHEI2AA4YBNVRK55AQVRKAL2M9WT2D12OFU7PJJNZ1V08,4.63,37,HOME_AND_GARDEN,NEW,BUY_NOW
FBJV77S8PX,4485.04,K146YRHPKHVLLPTLZAFRVVVL97W4J0B2BSHD1H30PGWGVBJTBP,4.52,26,HEALTH,NEW,BUY_NOW
